epoch,iteration,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B
35,100,0.122,0.187,0.473,0.449,0.168,0.419,1.037,0.139
35,200,0.07,0.582,0.852,0.352,0.122,0.383,0.966,0.167
35,300,0.048,0.608,0.463,0.368,0.066,0.527,0.802,0.165
35,400,0.263,1.66,1.325,0.305,0.169,0.084,0.906,0.122
35,500,0.327,0.098,0.639,0.442,0.066,1.035,1.239,0.199
35,600,0.163,0.555,0.877,0.339,0.041,0.434,0.941,0.32
35,700,0.177,0.47,0.584,0.424,0.139,0.286,1.033,0.137
35,800,0.105,0.843,0.813,0.326,0.106,0.539,1.086,0.231
35,900,0.133,0.626,0.394,0.194,0.108,0.319,0.862,0.247
35,1000,0.209,0.217,0.772,0.261,0.222,0.903,0.717,0.218
35,1100,0.159,0.342,0.465,0.32,0.082,0.981,0.926,0.142
36,80,0.077,0.629,0.404,0.297,0.119,0.446,0.824,0.183
36,180,0.109,0.71,0.697,0.189,0.249,0.344,0.59,0.174
36,280,0.056,0.583,0.582,0.177,0.26,0.166,0.559,0.146
36,380,0.063,0.654,0.468,0.317,0.202,0.508,0.851,0.137
36,480,0.032,0.239,0.669,0.349,0.045,0.83,0.929,0.321
36,580,0.236,0.765,0.922,1.077,0.067,0.986,2.015,0.234
36,680,0.038,1.146,0.607,0.507,0.038,0.926,1.201,0.212
36,780,0.104,0.868,0.697,0.322,0.11,0.374,0.968,0.141
36,880,0.062,1.443,0.422,0.551,0.146,0.92,1.111,0.116
36,980,0.021,0.907,0.404,0.393,0.132,0.75,0.918,0.105
36,1080,0.053,0.489,0.468,0.218,0.151,0.43,0.727,0.154
37,60,0.093,0.474,0.408,0.234,0.049,1.057,0.831,0.17
37,160,0.114,0.431,0.456,0.327,0.168,0.382,0.974,0.102
37,260,0.103,0.495,0.645,0.454,0.209,0.425,0.994,0.165
37,360,0.122,0.431,0.44,0.238,0.045,0.195,0.776,0.159
37,460,0.213,0.241,0.603,0.318,0.121,0.173,0.666,0.119
37,560,0.318,1.083,0.564,0.26,0.153,0.583,0.707,0.198
37,660,0.218,0.243,0.605,0.271,0.409,0.673,0.791,0.204
37,760,0.222,0.332,0.561,0.323,0.143,0.761,0.971,0.133
37,860,0.098,1.034,0.326,0.258,0.16,0.274,0.724,0.114
37,960,0.154,0.291,0.362,0.267,0.018,0.258,0.819,0.147
37,1060,0.177,0.326,1.297,0.256,0.142,0.365,0.777,0.425
38,40,0.087,0.373,0.779,0.308,0.059,0.929,0.951,0.315
38,140,0.152,0.69,0.455,0.356,0.039,0.723,1.134,0.222
38,240,0.068,0.272,0.758,0.348,0.135,0.746,1.453,0.43
38,340,0.22,0.662,0.622,0.254,0.051,0.586,0.803,0.181
38,440,0.091,0.366,0.766,0.344,0.051,0.526,1.269,0.296
38,540,0.128,0.55,0.422,0.165,0.085,0.866,0.639,0.156
38,640,0.227,0.2,0.99,0.249,0.073,0.567,0.657,0.301
38,740,0.137,0.251,0.48,0.266,0.064,0.604,0.789,0.138
38,840,0.047,0.57,0.379,0.36,0.171,0.245,0.963,0.104
38,940,0.097,0.366,0.459,0.267,0.029,0.729,0.702,0.149
38,1040,0.148,0.642,0.432,0.284,0.136,0.821,0.779,0.141
39,20,0.096,0.278,0.902,0.228,0.226,0.614,0.859,0.243
39,120,0.191,0.267,0.401,0.326,0.037,0.968,0.685,0.155
39,220,0.085,0.662,0.488,0.173,0.188,0.208,0.672,0.204
39,320,0.091,0.433,0.54,0.409,0.216,1.346,1.21,0.183
39,420,0.081,0.524,0.566,0.201,0.221,0.619,0.661,0.125
39,520,0.087,0.961,0.274,0.341,0.199,0.527,0.785,0.094
39,620,0.241,0.517,0.505,0.253,0.046,0.323,0.847,0.186
39,720,0.069,0.401,0.535,0.342,0.268,0.154,0.893,0.144
39,820,0.044,0.284,0.425,0.205,0.056,0.62,0.703,0.118
39,920,0.242,0.221,0.417,0.148,0.142,0.325,0.506,0.165
39,1020,0.09,0.221,0.61,0.215,0.187,0.434,0.691,0.147
39,1120,0.061,0.193,0.382,0.208,0.143,0.104,0.665,0.133
40,100,0.33,0.888,0.387,0.179,0.261,0.159,0.531,0.139
40,200,0.036,0.689,0.38,0.281,0.214,0.237,0.868,0.145
