================ Training Loss (Fri Feb 27 02:32:31 2026) ================
[Rank 0] (epoch: 35, iters: 100, time: 0.077, data: 0.114) , D_A: 0.122, G_A: 0.187, cycle_A: 0.473, idt_A: 0.449, D_B: 0.168, G_B: 0.419, cycle_B: 1.037, idt_B: 0.139

[Rank 0] (epoch: 35, iters: 200, time: 0.077, data: 0.001) , D_A: 0.070, G_A: 0.582, cycle_A: 0.852, idt_A: 0.352, D_B: 0.122, G_B: 0.383, cycle_B: 0.966, idt_B: 0.167

[Rank 0] (epoch: 35, iters: 300, time: 0.077, data: 0.001) , D_A: 0.048, G_A: 0.608, cycle_A: 0.463, idt_A: 0.368, D_B: 0.066, G_B: 0.527, cycle_B: 0.802, idt_B: 0.165

[Rank 0] (epoch: 35, iters: 400, time: 0.077, data: 0.001) , D_A: 0.263, G_A: 1.660, cycle_A: 1.325, idt_A: 0.305, D_B: 0.169, G_B: 0.084, cycle_B: 0.906, idt_B: 0.122

[Rank 0] (epoch: 35, iters: 500, time: 0.076, data: 0.002) , D_A: 0.327, G_A: 0.098, cycle_A: 0.639, idt_A: 0.442, D_B: 0.066, G_B: 1.035, cycle_B: 1.239, idt_B: 0.199

[Rank 0] (epoch: 35, iters: 600, time: 0.076, data: 0.001) , D_A: 0.163, G_A: 0.555, cycle_A: 0.877, idt_A: 0.339, D_B: 0.041, G_B: 0.434, cycle_B: 0.941, idt_B: 0.320

[Rank 0] (epoch: 35, iters: 700, time: 0.078, data: 0.001) , D_A: 0.177, G_A: 0.470, cycle_A: 0.584, idt_A: 0.424, D_B: 0.139, G_B: 0.286, cycle_B: 1.033, idt_B: 0.137

[Rank 0] (epoch: 35, iters: 800, time: 0.075, data: 0.001) , D_A: 0.105, G_A: 0.843, cycle_A: 0.813, idt_A: 0.326, D_B: 0.106, G_B: 0.539, cycle_B: 1.086, idt_B: 0.231

[Rank 0] (epoch: 35, iters: 900, time: 0.076, data: 0.001) , D_A: 0.133, G_A: 0.626, cycle_A: 0.394, idt_A: 0.194, D_B: 0.108, G_B: 0.319, cycle_B: 0.862, idt_B: 0.247

[Rank 0] (epoch: 35, iters: 1000, time: 0.074, data: 0.002) , D_A: 0.209, G_A: 0.217, cycle_A: 0.772, idt_A: 0.261, D_B: 0.222, G_B: 0.903, cycle_B: 0.717, idt_B: 0.218

[Rank 0] (epoch: 35, iters: 1100, time: 0.073, data: 0.001) , D_A: 0.159, G_A: 0.342, cycle_A: 0.465, idt_A: 0.320, D_B: 0.082, G_B: 0.981, cycle_B: 0.926, idt_B: 0.142

[Rank 0] (epoch: 36, iters: 80, time: 0.075, data: 0.001) , D_A: 0.077, G_A: 0.629, cycle_A: 0.404, idt_A: 0.297, D_B: 0.119, G_B: 0.446, cycle_B: 0.824, idt_B: 0.183

[Rank 0] (epoch: 36, iters: 180, time: 0.076, data: 0.002) , D_A: 0.109, G_A: 0.710, cycle_A: 0.697, idt_A: 0.189, D_B: 0.249, G_B: 0.344, cycle_B: 0.590, idt_B: 0.174

[Rank 0] (epoch: 36, iters: 280, time: 0.077, data: 0.001) , D_A: 0.056, G_A: 0.583, cycle_A: 0.582, idt_A: 0.177, D_B: 0.260, G_B: 0.166, cycle_B: 0.559, idt_B: 0.146

[Rank 0] (epoch: 36, iters: 380, time: 0.077, data: 0.001) , D_A: 0.063, G_A: 0.654, cycle_A: 0.468, idt_A: 0.317, D_B: 0.202, G_B: 0.508, cycle_B: 0.851, idt_B: 0.137

[Rank 0] (epoch: 36, iters: 480, time: 0.076, data: 0.002) , D_A: 0.032, G_A: 0.239, cycle_A: 0.669, idt_A: 0.349, D_B: 0.045, G_B: 0.830, cycle_B: 0.929, idt_B: 0.321

[Rank 0] (epoch: 36, iters: 580, time: 0.077, data: 0.002) , D_A: 0.236, G_A: 0.765, cycle_A: 0.922, idt_A: 1.077, D_B: 0.067, G_B: 0.986, cycle_B: 2.015, idt_B: 0.234

[Rank 0] (epoch: 36, iters: 680, time: 0.077, data: 0.001) , D_A: 0.038, G_A: 1.146, cycle_A: 0.607, idt_A: 0.507, D_B: 0.038, G_B: 0.926, cycle_B: 1.201, idt_B: 0.212

[Rank 0] (epoch: 36, iters: 780, time: 0.077, data: 0.001) , D_A: 0.104, G_A: 0.868, cycle_A: 0.697, idt_A: 0.322, D_B: 0.110, G_B: 0.374, cycle_B: 0.968, idt_B: 0.141

[Rank 0] (epoch: 36, iters: 880, time: 0.079, data: 0.002) , D_A: 0.062, G_A: 1.443, cycle_A: 0.422, idt_A: 0.551, D_B: 0.146, G_B: 0.920, cycle_B: 1.111, idt_B: 0.116

[Rank 0] (epoch: 36, iters: 980, time: 0.077, data: 0.001) , D_A: 0.021, G_A: 0.907, cycle_A: 0.404, idt_A: 0.393, D_B: 0.132, G_B: 0.750, cycle_B: 0.918, idt_B: 0.105

[Rank 0] (epoch: 36, iters: 1080, time: 0.075, data: 0.001) , D_A: 0.053, G_A: 0.489, cycle_A: 0.468, idt_A: 0.218, D_B: 0.151, G_B: 0.430, cycle_B: 0.727, idt_B: 0.154

[Rank 0] (epoch: 37, iters: 60, time: 0.075, data: 0.001) , D_A: 0.093, G_A: 0.474, cycle_A: 0.408, idt_A: 0.234, D_B: 0.049, G_B: 1.057, cycle_B: 0.831, idt_B: 0.170

[Rank 0] (epoch: 37, iters: 160, time: 0.075, data: 0.001) , D_A: 0.114, G_A: 0.431, cycle_A: 0.456, idt_A: 0.327, D_B: 0.168, G_B: 0.382, cycle_B: 0.974, idt_B: 0.102

[Rank 0] (epoch: 37, iters: 260, time: 0.075, data: 0.001) , D_A: 0.103, G_A: 0.495, cycle_A: 0.645, idt_A: 0.454, D_B: 0.209, G_B: 0.425, cycle_B: 0.994, idt_B: 0.165

[Rank 0] (epoch: 37, iters: 360, time: 0.076, data: 0.001) , D_A: 0.122, G_A: 0.431, cycle_A: 0.440, idt_A: 0.238, D_B: 0.045, G_B: 0.195, cycle_B: 0.776, idt_B: 0.159

[Rank 0] (epoch: 37, iters: 460, time: 0.075, data: 0.001) , D_A: 0.213, G_A: 0.241, cycle_A: 0.603, idt_A: 0.318, D_B: 0.121, G_B: 0.173, cycle_B: 0.666, idt_B: 0.119

[Rank 0] (epoch: 37, iters: 560, time: 0.077, data: 0.001) , D_A: 0.318, G_A: 1.083, cycle_A: 0.564, idt_A: 0.260, D_B: 0.153, G_B: 0.583, cycle_B: 0.707, idt_B: 0.198

[Rank 0] (epoch: 37, iters: 660, time: 0.076, data: 0.001) , D_A: 0.218, G_A: 0.243, cycle_A: 0.605, idt_A: 0.271, D_B: 0.409, G_B: 0.673, cycle_B: 0.791, idt_B: 0.204

[Rank 0] (epoch: 37, iters: 760, time: 0.076, data: 0.001) , D_A: 0.222, G_A: 0.332, cycle_A: 0.561, idt_A: 0.323, D_B: 0.143, G_B: 0.761, cycle_B: 0.971, idt_B: 0.133

[Rank 0] (epoch: 37, iters: 860, time: 0.075, data: 0.002) , D_A: 0.098, G_A: 1.034, cycle_A: 0.326, idt_A: 0.258, D_B: 0.160, G_B: 0.274, cycle_B: 0.724, idt_B: 0.114

