Epoch,Iteration,G_A,Cycle_A,Idt_A,D_A,G_B,Cycle_B,Idt_B,D_B
35,932,0.401,0.547,0.336,0.123,0.237,0.897,0.102,0.242
35,832,0.372,0.588,0.288,0.192,0.268,0.735,0.144,0.141
35,732,0.745,0.579,0.330,0.105,0.363,1.166,0.210,0.090
35,632,0.503,0.531,0.324,0.080,0.844,0.871,0.196,0.354
35,532,0.287,0.660,0.216,0.332,0.208,0.658,0.204,0.177
35,432,0.500,0.336,0.317,0.111,0.169,0.850,0.095,0.062
35,332,0.233,0.565,0.183,0.179,0.319,0.535,0.130,0.192
35,232,0.522,0.366,0.155,0.166,0.241,0.485,0.102,0.197
35,132,0.648,0.631,0.235,0.211,0.248,0.535,0.397,0.145
35,32,0.644,0.352,0.364,0.154,0.276,0.794,0.134,0.266
