image_index,identity_fidelity
1,0.979633
2,0.982389
3,0.981235
4,0.980792
5,0.980787
6,0.98256
7,0.98124
8,0.974796
9,0.98014
10,0.983117
11,0.978058
12,0.982163
13,0.981262
14,0.973487
15,0.98025
16,0.981037
17,0.980313
18,0.973627
19,0.980754
20,0.978588
21,0.976326
22,0.975602
23,0.972749
24,0.98145
25,0.983211
26,0.980446
27,0.982326
28,0.978738
29,0.97509
30,0.979418
31,0.975237
32,0.979364
33,0.981884
34,0.982822
35,0.977726
36,0.979848
37,0.97597
38,0.978758
39,0.980852
40,0.977016
41,0.981112
42,0.983687
43,0.979426
44,0.975977
45,0.98379
46,0.982541
47,0.979241
48,0.981001
49,0.979075
50,0.979751
51,0.981882
52,0.981192
53,0.978198
54,0.981266
55,0.983382
56,0.981302
57,0.97596
58,0.982288
59,0.979294
60,0.981151
61,0.981917
62,0.979807
63,0.979993
64,0.981063
65,0.975908
66,0.981985
67,0.980936
68,0.980319
69,0.983239
70,0.978913
71,0.983302
72,0.98219
73,0.977087
74,0.980683
75,0.981972
76,0.97843
77,0.975596
78,0.981732
79,0.978422
80,0.975638
81,0.981955
82,0.981746
83,0.983278
84,0.980282
85,0.981251
86,0.978874
87,0.980787
88,0.981166
89,0.977903
90,0.980423
91,0.979985
92,0.97559
93,0.982035
94,0.981829
95,0.98213
96,0.975524
97,0.978166
98,0.981633
99,0.981107
100,0.980323
101,0.978908
102,0.979294
103,0.980508
104,0.982463
105,0.980024
106,0.981211
107,0.982037
108,0.981136
109,0.980759
110,0.977427
111,0.981854
112,0.98014
113,0.978435
114,0.981718
115,0.980985
116,0.981042
117,0.975513
118,0.981869
119,0.978939
120,0.980877
121,0.978674
122,0.979559
123,0.981204
124,0.98433
125,0.968974
126,0.98055
127,0.979637
128,0.966889
129,0.979555
130,0.981579
131,0.980302
132,0.980746
133,0.974701
134,0.981163
135,0.976333
136,0.98069
137,0.974686
138,0.980338
139,0.982136
140,0.979732
141,0.979192
142,0.980147
143,0.980568
144,0.974393
145,0.981657
146,0.98065
147,0.97921
148,0.984887
149,0.981785
150,0.97995
151,0.981773
152,0.9804
153,0.979947
154,0.977147
155,0.977508
156,0.98181
157,0.980429
158,0.980967
159,0.980305
160,0.981652
161,0.982737
162,0.979793
163,0.975239
164,0.980565
165,0.982128
166,0.977795
167,0.98295
168,0.984522
169,0.979084
170,0.976844
171,0.981392
172,0.981852
173,0.981877
174,0.977453
175,0.97508
176,0.975523
177,0.980569
178,0.980281
179,0.975474
180,0.977807
181,0.977669
182,0.982348
183,0.982365
184,0.984494
185,0.988636
186,0.989651
187,0.984336
188,0.981514
189,0.982059
190,0.983085
191,0.986176
192,0.979177
193,0.984487
194,0.985483
195,0.983196
196,0.975738
197,0.980234
198,0.982011
199,0.971486
200,0.977034
201,0.982634
202,0.982318
203,0.984334
204,0.983786
205,0.973414
206,0.975455
207,0.9836
208,0.984106
209,0.983999
210,0.982506
211,0.975931
212,0.976259
213,0.985422
214,0.967151
215,0.984548
216,0.980473
217,0.984757
218,0.985827
219,0.977489
220,0.983166
