image_index,mse
1,0.058703
2,0.062299
3,0.05576
4,0.05703
5,0.056638
6,0.056996
7,0.055368
8,0.058415
9,0.053307
10,0.05801
11,0.061772
12,0.057544
13,0.058137
14,0.062168
15,0.061729
16,0.059434
17,0.055676
18,0.061512
19,0.057322
20,0.057756
21,0.059897
22,0.06019
23,0.05791
24,0.062816
25,0.058896
26,0.061658
27,0.057091
28,0.055866
29,0.056142
30,0.059331
31,0.057652
32,0.056541
33,0.057177
34,0.054531
35,0.05733
36,0.054863
37,0.057878
38,0.055171
39,0.057738
40,0.055931
41,0.05919
42,0.058154
43,0.059039
44,0.056223
45,0.055715
46,0.057675
47,0.055488
48,0.055549
49,0.06097
50,0.057448
51,0.058507
52,0.058448
53,0.054695
54,0.056116
55,0.058618
56,0.058681
57,0.061375
58,0.056209
59,0.056317
60,0.055218
61,0.060914
62,0.060058
63,0.054697
64,0.05409
65,0.057411
66,0.057512
67,0.05797
68,0.059026
69,0.056701
70,0.055774
71,0.054556
72,0.060159
73,0.056477
74,0.058428
75,0.058884
76,0.057268
77,0.058662
78,0.060225
79,0.061077
80,0.061877
81,0.057762
82,0.055661
83,0.05899
84,0.060438
85,0.058031
86,0.058539
87,0.058926
88,0.05717
89,0.058416
90,0.056932
91,0.060614
92,0.056279
93,0.058235
94,0.061189
95,0.059116
96,0.056856
97,0.060158
98,0.057484
99,0.054819
100,0.057016
101,0.057701
102,0.062314
103,0.057852
104,0.056834
105,0.058176
106,0.066616
107,0.056866
108,0.054908
109,0.054434
110,0.056326
111,0.061931
112,0.056873
113,0.060489
114,0.055622
115,0.058152
116,0.056833
117,0.058773
118,0.059486
119,0.060848
120,0.056086
121,0.057499
122,0.058512
123,0.060114
124,0.058249
125,0.056663
126,0.065347
127,0.058188
128,0.056986
129,0.055885
130,0.063287
131,0.056811
132,0.055742
133,0.060052
134,0.060094
135,0.057033
136,0.05806
137,0.061458
138,0.054687
139,0.063927
140,0.060436
141,0.057047
142,0.058373
143,0.055295
144,0.058183
145,0.055592
146,0.058927
147,0.057551
148,0.056186
149,0.057407
150,0.059817
151,0.057342
152,0.055882
153,0.055439
154,0.058148
155,0.058604
156,0.057357
157,0.056457
158,0.055633
159,0.056933
160,0.059971
161,0.055663
162,0.058109
163,0.058451
164,0.05854
165,0.057164
166,0.056137
167,0.055639
168,0.057645
169,0.060852
170,0.059646
171,0.059285
172,0.064673
173,0.059474
174,0.059341
175,0.058088
176,0.058558
177,0.06051
178,0.05531
179,0.06058
180,0.060234
181,0.064207
182,0.106845
183,0.102567
184,0.056329
185,0.055886
186,0.022537
187,0.050382
188,0.032438
189,0.071458
190,0.0877
191,0.105974
192,0.077497
193,0.059396
194,0.07518
195,0.09299
196,0.067069
197,0.081996
198,0.078338
199,0.096087
200,0.072579
201,0.07986
202,0.076724
203,0.095105
204,0.063921
205,0.073957
206,0.07637
207,0.067645
208,0.038587
209,0.111034
210,0.083841
211,0.125139
212,0.090362
213,0.058061
214,0.087533
215,0.104287
216,0.069935
217,0.034312
218,0.069695
219,0.041866
220,0.079701
