image_index,ssim
1,0.394831
2,0.369084
3,0.362385
4,0.396538
5,0.377859
6,0.361824
7,0.390526
8,0.377475
9,0.384359
10,0.365032
11,0.34342
12,0.396789
13,0.388098
14,0.353014
15,0.346361
16,0.359126
17,0.382155
18,0.331631
19,0.360199
20,0.395282
21,0.350177
22,0.393168
23,0.369686
24,0.370647
25,0.404084
26,0.395193
27,0.365945
28,0.37311
29,0.369266
30,0.361985
31,0.364853
32,0.379532
33,0.367438
34,0.387631
35,0.383901
36,0.393548
37,0.373987
38,0.393648
39,0.382791
40,0.370643
41,0.350088
42,0.379676
43,0.351362
44,0.36637
45,0.379136
46,0.382344
47,0.384752
48,0.369053
49,0.3551
50,0.361579
51,0.3867
52,0.396249
53,0.374762
54,0.380855
55,0.365272
56,0.396457
57,0.34327
58,0.381271
59,0.379014
60,0.381474
61,0.359554
62,0.355917
63,0.393617
64,0.383539
65,0.366149
66,0.386872
67,0.377185
68,0.40017
69,0.381794
70,0.375675
71,0.380134
72,0.391861
73,0.382928
74,0.402657
75,0.370231
76,0.36473
77,0.368314
78,0.35762
79,0.387064
80,0.342017
81,0.363998
82,0.39763
83,0.398219
84,0.346635
85,0.367037
86,0.354422
87,0.358386
88,0.373444
89,0.351205
90,0.399787
91,0.39665
92,0.385893
93,0.360874
94,0.36047
95,0.373755
96,0.394781
97,0.35574
98,0.396497
99,0.394904
100,0.382948
101,0.383671
102,0.344918
103,0.396509
104,0.370029
105,0.36744
106,0.341166
107,0.367376
108,0.391151
109,0.367603
110,0.394647
111,0.366591
112,0.371658
113,0.350109
114,0.383264
115,0.385694
116,0.381354
117,0.338795
118,0.387988
119,0.342727
120,0.38438
121,0.385003
122,0.362464
123,0.381627
124,0.388517
125,0.377676
126,0.33937
127,0.382697
128,0.368922
129,0.380303
130,0.372855
131,0.399271
132,0.375302
133,0.377839
134,0.391177
135,0.369793
136,0.364695
137,0.346687
138,0.397368
139,0.346652
140,0.365055
141,0.386458
142,0.367235
143,0.388431
144,0.365208
145,0.380303
146,0.364394
147,0.377433
148,0.367429
149,0.369455
150,0.352034
151,0.39296
152,0.38495
153,0.394427
154,0.341906
155,0.386545
156,0.379333
157,0.381706
158,0.380781
159,0.368079
160,0.373118
161,0.38351
162,0.38429
163,0.359208
164,0.383814
165,0.380782
166,0.360003
167,0.37447
168,0.358812
169,0.394143
170,0.384297
171,0.379977
172,0.340213
173,0.365236
174,0.355094
175,0.351554
176,0.376283
177,0.398019
178,0.380158
179,0.354237
180,0.35933
181,0.337321
182,0.264391
183,0.253895
184,0.3306
185,0.415791
186,0.476242
187,0.272525
188,0.397793
189,0.34559
190,0.273276
191,0.329548
192,0.347164
193,0.434037
194,0.330519
195,0.349361
196,0.332808
197,0.292334
198,0.263436
199,0.216897
200,0.260776
201,0.335332
202,0.331285
203,0.263229
204,0.331602
205,0.358772
206,0.368784
207,0.281961
208,0.370552
209,0.24586
210,0.257261
211,0.348521
212,0.34145
213,0.388752
214,0.201742
215,0.258589
216,0.284619
217,0.441988
218,0.305777
219,0.290287
220,0.354329
